Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,county_num,city_num,state_num,address_num
94121,1498000.0,3,1,1800,519 27TH AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34710
94107,850000.0,1,2,1334,920 HARRISON ST APT 15,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34340
94116,1195000.0,3,1,1214,1958 42ND AVE,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34613
94134,1208900.0,3,4,1807,321 YALE ST,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34898
94131,1349000.0,3,2,1354,394 JOOST AVE,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34833
94116,1199000.0,3,2,1286,2023 42ND AVE,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34632
94109,549000.0,1,1,592,1000 N POINT ST APT 207,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34411
94134,588888.0,1,1,834,401 CRESCENT CT APT 4101,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34914
94112,900000.0,3,1,1375,4998 MISSION ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34498
94105,1995000.0,2,2,1270,280 SPEAR ST # 31C,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34303
94123,6550000.0,4,4,3550,2611 FILBERT ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34754
94127,899000.0,4,1,1470,172 LOS PALMOS DR,San Francisco,California,20927,4332.5,San Francisco,285493.0,37.73642,-122.45961,81,230,26,34822
94123,5495000.0,3,3,2294,1960 VALLEJO ST APT 8,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34749
94109,1348000.0,2,2,994,1580 PACIFIC AVE # L7,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34379
94105,755000.0,2,2,736,201 HARRISON ST APT 813,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34284
94131,1650000.0,3,1,1019,283 SURREY ST,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34844
94105,2199000.0,2,4,2393,14 GUY PL APT A,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34285
94118,2555000.0,5,3,3130,527 3RD AVE,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34676
94105,2900000.0,3,3,2015,1 HAWTHORNE ST UNIT 24B,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34283
94123,1299000.0,2,1,1069,3031 OCTAVIA ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34750
94102,1595000.0,2,2,1155,564 FELL ST,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34221
94107,1195000.0,2,2,1145,88 KING ST UNIT 604,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34344
94124,899000.0,2,1,1010,2077 THOMAS AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34783
94105,1295000.0,2,2,1530,301 MISSION ST APT 48A,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34276
94102,1950000.0,3,2,2516,181 OFARRELL ST STE 513,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34228
94114,1295000.0,2,3,1220,3947 17TH ST,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34552
94108,680000.0,2,2,690,946 STOCKTON ST APT 14C,San Francisco,California,11963,17904.6,San Francisco,116916.0,37.79189,-122.40854,81,230,26,34364
94109,706130.0,3,2,1198,1580 PACIFIC AVE # J2,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34394
94109,5595000.0,6,8,5584,1823 JACKSON ST,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34417
94123,6500000.0,4,4,4554,2601 LYON ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34751
94112,960000.0,2,1,1600,131 MARSTON AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34542
94115,2995000.0,4,4,3030,1335 DIVISADERO ST,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34598
94131,3395000.0,4,4,3320,1466 NOE ST,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34848
94122,1298000.0,2,1,1050,1622 45TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34718
94122,1998000.0,6,3,2515,1251 48TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34726
94105,3695000.0,3,3,2213,280 SPEAR ST # 38B,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34278
94115,1025000.0,2,1,1106,2542 SACRAMENTO ST APT 103,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34590
94133,826000.0,2,1,1000,369 GREEN ST,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34897
94122,1795000.0,4,3,2919,1224 16TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34721
94109,1349000.0,3,2,1290,1624 LARKIN ST APT 6,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34410
94133,750000.0,3,2,1790,735 CHESTNUT ST,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34879
94124,799000.0,3,2,1386,1565 PALOU AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34797
94109,875000.0,1,1,725,1998 BROADWAY APT 1503,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34398
94132,1795000.0,4,5,2130,45 SPRINGFIELD DR,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34871
94116,1150000.0,3,3,1244,1345 TARAVAL ST,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34615
94118,2195000.0,4,3,2247,70 MANZANITA AVE,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34680
94107,2995000.0,5,5,3200,1164 DE HARO ST,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34346
94112,800000.0,3,2,1625,536 BRAZIL AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34533
94103,575000.0,1,1,623,1875 MISSION ST APT 308,San Francisco,California,32430,9113.8,San Francisco,158861.0,37.77299,-122.41136,81,230,26,34257
94110,1595000.0,3,2,1367,1029 DOLORES ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34444
94134,1098000.0,2,1,1190,295 TOCOLOMA AVE,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34916
94102,838000.0,2,1,720,388 FULTON ST UNIT 305,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34220
94110,675000.0,2,1,745,106 ALBION ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34458
94134,1295000.0,4,3,2342,1152 BURROWS ST,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34904
94109,1089000.0,2,2,1165,1483 SUTTER ST UNIT 714,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34420
94117,599500.0,3,1,1225,1947 FULTON ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34644
94107,1645000.0,2,2,1517,229 BRANNAN ST UNIT 9G,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34331
94109,865000.0,2,2,893,1100 LEAVENWORTH ST APT 3,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34431
94116,1990000.0,4,5,2270,1331 VICENTE ST,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34626
94112,599000.0,1,1,700,150 SHAKESPEARE ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34520
94122,778000.0,2,2,845,1370 11TH AVE APT 6,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34737
94116,3595000.0,4,4,3616,343 CASTENADA AVE,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34620
94103,1295000.0,2,2,1363,60 ELGIN PARK,San Francisco,California,32430,9113.8,San Francisco,158861.0,37.77299,-122.41136,81,230,26,34235
94133,1495000.0,2,2,1226,1928 TAYLOR ST,San Francisco,California,26090,15319.0,San Francisco,141326.0,37.80193,-122.41092,81,230,26,34890
94107,899000.0,1,1,651,2177 3RD ST UNIT 522,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34355
94131,22000000.0,6,9,9704,21 EVERSON ST,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34845
94134,995000.0,3,2,1370,245 TALBERT ST,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34911
94132,1270000.0,4,2,1196,434 RALSTON ST,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34876
94109,1700000.0,3,3,1800,1438 GREEN ST UNIT 7E,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34405
94102,740000.0,1,1,714,555 FULTON ST UNIT 435,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34226
94107,949500.0,1,2,1208,1047 MISSISSIPPI ST APT 3,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34330
94131,3500000.0,4,2,2540,296 RANDALL ST,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34850
94117,1249000.0,3,2,1421,1699 OAK ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34643
94131,1295000.0,3,1,1178,175 FARNUM ST,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34835
94121,1395000.0,3,3,1985,486 32ND AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34696
94109,1245000.0,3,3,1660,2448 LARKIN ST,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34389
94110,1275000.0,2,2,1398,3310 MISSION ST APT 4,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34450
94131,650000.0,1,1,744,215 RED ROCK WAY APT 306J,San Francisco,California,29437,5620.9,San Francisco,259573.0,37.74569,-122.44243,81,230,26,34855
94109,795000.0,1,1,805,1483 SUTTER ST UNIT 816,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34393
94121,11900000.0,6,6,6854,710 EL CAMINO DEL MAR,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34717
94124,799000.0,2,2,1080,52 INNES CT APT 301,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34806
94105,1588000.0,2,2,1019,501 BEALE ST # PH2B,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34290
94110,1185000.0,2,2,1256,2952 22ND ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34473
94118,1590000.0,2,2,1515,182 8TH AVE,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34681
94117,1595000.0,3,2,2058,2245 FULTON ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34656
94122,1495000.0,3,2,1653,1822 9TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34728
94116,1849000.0,3,3,2100,2495 22ND AVE,San Francisco,California,45510,6956.0,San Francisco,201841.0,37.74457,-122.48611,81,230,26,34614
94110,1575000.0,3,2,1428,37 DORLAND ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34464
94107,899000.0,2,2,809,88 ARKANSAS ST APT 223,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34325
94118,6000000.0,4,4,3865,115 SPRUCE ST,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34679
94102,789000.0,2,2,1004,601 VAN NESS AVE APT 40,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34225
94123,3595000.0,4,3,2355,1632 N POINT ST,San Francisco,California,26002,9272.5,San Francisco,300463.0,37.80112,-122.43645,81,230,26,34763
94103,860000.0,1,1,748,68 MCCOPPIN ST APT 5,San Francisco,California,32430,9113.8,San Francisco,158861.0,37.77299,-122.41136,81,230,26,34249
94117,549000.0,1,1,669,404 ASHBURY ST APT 1,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34649
94102,539000.0,1,1,708,601 VAN NESS AVE APT 712,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34229
94121,1495000.0,3,2,1591,759 33RD AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34692
94115,899000.0,2,1,867,3114 CLAY ST APT 5,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34607
94109,1349000.0,2,2,1492,1835 FRANKLIN ST APT 703,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34392
94112,1695000.0,5,4,2568,271 SENECA AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34517
94117,4575000.0,5,4,4114,828 ASHBURY ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34652
94103,2099000.0,4,3,3083,145 HAMPSHIRE ST # B,San Francisco,California,32430,9113.8,San Francisco,158861.0,37.77299,-122.41136,81,230,26,34250
94107,1295000.0,3,2,1680,25 SIERRA ST APT E102,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34348
94130,1495000.0,2,3,1363,1 BRISTOL CT APT 326,San Francisco,California,3185,1396.2,San Francisco,147150.0,37.81975,-122.36898,81,230,26,34825
94114,1325000.0,2,1,926,466 COLLINGWOOD ST,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34561
94122,1900000.0,5,3,2572,1517 12TH AVE,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34727
94102,4295000.0,4,4,2650,262 WALLER ST,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34227
94102,313744.0,1,1,532,31 PAGE ST UNIT 505,San Francisco,California,33856,19760.9,San Francisco,115649.0,37.77956,-122.41931,81,230,26,34216
94132,1399000.0,3,3,2133,181 SUMMIT WAY,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34868
94115,1499900.0,1,2,1176,1805 BUCHANAN ST # 1A,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34589
94132,1325000.0,3,2,1605,159 MONTICELLO ST,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34867
94107,1458888.0,2,2,1167,88 KING ST UNIT 1009,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34314
94134,1480000.0,6,5,5084,3733 SAN BRUNO AVE,San Francisco,California,41977,6333.8,San Francisco,142394.0,37.71887,-122.41124,81,230,26,34906
94124,1189000.0,2,1,1192,51 TOPEKA AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34796
94117,1749000.0,3,2,1675,2155 HAYES ST,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34655
94121,795000.0,2,2,1084,875 LA PLAYA ST APT 283,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34695
94110,1620000.0,3,2,1200,2618 22ND ST,San Francisco,California,70859,11447.9,San Francisco,223044.0,37.74975,-122.41528,81,230,26,34454
94112,998000.0,2,2,1198,335 CHICAGO WAY,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34534
94112,649000.0,1,1,751,747 PERU AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34499
94127,1998000.0,4,2,2173,850 URBANO DR,San Francisco,California,20927,4332.5,San Francisco,285493.0,37.73642,-122.45961,81,230,26,34820
94107,1050000.0,2,2,1019,555 4TH ST UNIT 721,San Francisco,California,28607,5951.9,San Francisco,226692.0,37.76473,-122.39508,81,230,26,34328
94132,1890000.0,4,4,2218,486 RALSTON ST,San Francisco,California,29707,3662.2,San Francisco,146999.0,37.72219,-122.48475,81,230,26,34872
94117,795000.0,2,1,1168,883 HAYES ST # 883,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34658
94105,1245000.0,1,1,830,401 HARRISON ST APT 18F,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34309
94118,2000750.0,4,2,2475,210 LAKE ST,San Francisco,California,41456,7982.1,San Francisco,227113.0,37.7801,-122.46185,81,230,26,34665
94121,1795000.0,2,2,1360,579 23RD AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34684
94121,1050000.0,2,1,1278,743 47TH AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34716
94122,1050000.0,2,1,1161,1215 KIRKHAM ST,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34730
94112,995000.0,3,1,1218,50 NANTUCKET AVE,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34523
94117,1599000.0,3,3,1883,111 BUENA VISTA TER # 115,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34648
94124,950000.0,4,4,1072,273 CHARTER OAK AVE,San Francisco,California,35982,2910.8,San Francisco,111827.0,37.73204,-122.3858,81,230,26,34792
